Author_Name,Author_ID
Kezhi Li,2974290
P. Georgiou,145836472
Yuxi Li,2116210774
Shuxuan Xie,2150373919
Zhibo Wan,122751266
Haibin Lv,38929912
H. Song,72482218
Zhihan Lv,2112382820
Ambigavathi Munusamy,2122096102
Mainak Adhikari,2644477
V. Balasubramanian,34969216
Mohammad Ayoub Khan,1736591
Varun G. Menon,3375904
D. Rawat,1729159
S. Srirama,1698593
Yae Jee Cho,2115013
Jianyu Wang,30880777
Tarun Chirvolu,2200346475
Gauri Joshi,1490536974
Sundas Iftikhar,27373218
S. Gill,31043248
Chenghao Song,2047513432
Minxian Xu,2889350
M. Aslanpour,9213025
A. Toosi,2847746
Junhui Du,2117218665
Huaming Wu,47987518
Shreya Ghosh,2180318921
Deepraj Chowdhury,2133590214
Muhammed Golec,2037977157
Mohit Kumar,2157797834
A. M. Abdelmoniem,2575987
F. Cuadrado,1722958
B. Varghese,1683999
O. Rana,1751264
S. Dustdar,1691109
Steve Uhlig,2157668837
Achref Haddaji,2049037781
S. Ayed,2036640
L. Chaari,2330607
T. Silva,144691244
Aluizio F. Rocha Neto,51381530
T. Batista,1683833
Flávia Coimbra Delicato,1748015
Paulo F. Pires,1395429607
Frederico Lopes,145094992
Tariq Qayyum,117605364
Z. Trabelsi,1781321
Asad Waqar Malik,2189136513
Kadhim Hayawi,1915582
Milind Natu,2150896385
M. Bachute,31269352
Shilpa Gite,2133803946
K. Kotecha,1794896
Ankit Vidyarthi,9249870
P. Windisch,51247557
Caroline Hertler,2341417471
D. Blum,27074099
D. Zwahlen,6792357
R. Förster,39522196
Jessica Ma,153156013
Stephen Chi,113492571
B. Buettner,1412348399
Katherine. Pollard,46295330
M. Muir,80059362
Charu Kolekar,84411349
Noor Al-Hammadi,2330764870
Ling Chen,2119323654
M. Kollef,2311502
M. Dans,5705641
Susan Enguídanos,16235115
Anna Rahman,2148758236
T. Fields,24586145
W. Mack,3396694
R. Brumley,7190307
M. Rabow,5889516
M. Mert,70559187
K. Courtright,6899586
C. Chivers,5070095
Michael Becker,2071187516
S. H. Regli,2361809
L. Pepper,151095711
Michael Draugelis,10763846
Nina R. O’Connor,1387836902
Gaëlle Vanbutsele,6263311
K. Pardon,5923519
S. Van Belle,7875617
V. Surmont,6322869
M. de Laat,113395674
R. Colman,76938369
K. Eecloo,7464870
V. Cocquyt,5352832
K. Geboes,48578267
L. Deliens,6466955
J. Temel,6169665
J. Greer,6246173
A. El-Jawahri,1387462314
W. Pirl,4620366
E. Park,2838077
V. Jackson,3229321
A. Back,3356284
M. Kamdar,2645653
J. Jacobsen,39321349
E. Chittenden,48280116
Simone P. Rinaldi,50361578
E. Gallagher,40355087
Justin R. Eusebio,2343381
Zhigang Li,2120390481
A. Muzikansky,152166101
D. Ryan,2946715
C. Zimmermann,144197867
N. Swami,35256781
M. Krzyzanowska,3551389
N. Leighl,5683834
A. Rydall,3878480
G. Rodin,143666645
I. Tannock,6864085
B. Hannon,2650089
Deqing Zou,2068865
Sujuan Wang,2116429557
Shouhuai Xu,5030313
Zhen Li,2128045930
Hai Jin,145914256
Guanjun Lin,19148566
Jun Zhang,None
Wei Luo,145951567
Lei Pan,41052097
O. Vel,1790642
Paul Montague,144644538
Yang Xiang,98232756
Xin Li,2153900482
Lu Wang,2153518398
Yang Xin,34811223
Yixian Yang,47796563
Qi Tang,2069578129
Yuling Chen,49069825
Aakanshi Gupta,41156185
Bharti Suri,1864402
Vijay Kumar,153730332
Pragyashree Jain,2000314535
Zhuguo Li,49969637
Zhaoxuan Chen,51121239
Yawei Zhu,13457125
Fangyun Qin,2407876
Zheng Zheng,145458678
Yu Qiao,2056922912
Kishor S. Trivedi,1730193
Hossein Homaei,34549326
H. Shahriari,9072622
Xiaoning Du,2056539
Bihuan Chen,144943089
Yuekang Li,22799258
Jianmin Guo,47093589
Yaqin Zhou,2110347097
Yang Liu,144440741
Yu Jiang,2116341541
Daniel Votipka,3157105
Rock Stevens,40362961
Elissa M. Redmiles,2391370
Jeremy Hu,2219944280
Michelle L. Mazurek,37176218
Xingming Zhao,121809417
Weidong Tian,144963976
R. Jiang,1500402072
Jun Wan,145121538
M. Jaeger,2057536
C. You,7693987
L. Holder,1726417
D. Cook,144758070
Alireza Tamaddoni-Nezhad,1403549560
Raphael A. G. Chaleil,2417446
A. Kakas,2807119
S. Muggleton,145147566
Sriraam Natarajan,145986014
Prasad Tadepalli,1729906
Eric Altendorf,2082608098
Thomas G. Dietterich,144299726
Alan Fern,145841336
Angelo C. Restificar,2986707
R. Hoffmann,2066494017
Martin Krallinger,3286328
E. Andrés,2068648630
J. Tamames,2402284
C. Blaschke,1941127
A. Valencia,145786321
Jennifer Neville,144050371
David D. Jensen,144774129
W. Weckwerth,1780751
Steffen Klamt,2408098
J. Stelling,143930703
Martin Ginkel,39686551
E. Gilles,3022349
Wenqian Shang,2066300123
Xintian Liu,1857224
